交通类型代码,交通类型中文,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,地铁,226,13.724146555,100.560628027,135
1,地铁,226,13.723895112,100.560638756,136
1,地铁,226,13.723297118,100.5604738,137
1,地铁,226,13.722881518,100.560290068,138
1,地铁,226,13.72282555,100.560278972,139
1,地铁,226,13.72282555,100.560278972,140
1,地铁,226,13.722705637,100.5602552,141
1,地铁,226,13.722078979,100.56001246,142
1,地铁,226,13.721464044,100.559725463,143
1,地铁,226,13.721302493,100.559580624,144
1,地铁,226,13.721231963,100.559462254,145
1,地铁,226,13.721056383,100.559288746,146
1,地铁,226,13.720863246,100.558985108,147
1,地铁,226,13.720768433,100.558775452,148
1,地铁,226,13.720698201,100.55852965,149
1,地铁,226,13.720670108,100.558283847,150
1,地铁,226,13.720677132,100.558045273,151
1,地铁,226,13.720785991,100.557629577,152
1,地铁,226,13.722053673,100.554647411,153
1,地铁,226,13.722321857,100.553997784,154
1,地铁,226,13.722321857,100.553997784,155
1,地铁,226,13.722938588,100.552503866,156
1,地铁,226,13.723121189,100.551997801,157
1,地铁,226,13.725437429,100.546510911,158
1,地铁,226,13.725438277877279,100.54650810171556,159
1,地铁,226,13.725438279,100.546508098,160
1,地铁,226,13.725931405,100.544875413,161
1,地铁,226,13.726612771,100.543334484,162
1,地铁,226,13.728062784,100.539976358,163
1,地铁,226,13.729127164,100.537377298,164
1,地铁,226,13.729178986918372,100.53726601417529,165
1,地铁,226,13.729178987,100.537266014,166
1,地铁,226,13.7296118,100.536336601,167
1,地铁,226,13.731448719,100.531790257,168
1,地铁,226,13.732431254,100.529399204,169
1,地铁,226,13.732431254222314,100.529399203459,170
1,地铁,226,13.732440128,100.529377609,171
1,地铁,226,13.732937786,100.528287292,172
1,地铁,226,13.7338875,100.525884032,173
1,地铁,226,13.735239265,100.522797873,174
1,地铁,226,13.737293412,100.517795063,175
1,地铁,226,13.737602567,100.517103151,176
1,地铁,226,13.737604177,100.517100618,177
1,地铁,226,13.737604177,100.517100618,178
1,地铁,226,13.742316211,100.509686172,179
1,地铁,226,13.742316211,100.509686172,180
1,地铁,226,13.742316211025557,100.50968617196398,181
1,地铁,226,13.746940799956949,100.50316840406067,182
1,地铁,226,13.7469408,100.503168404,183
1,地铁,226,13.7469408,100.503168404,184
1,地铁,226,13.74706195,100.50287202,185
1,地铁,226,13.747037199,100.502618551,186
1,地铁,226,13.746299877,100.501091033,187
1,地铁,226,13.743400067,100.494880378,188
1,地铁,226,13.743382576,100.494846054,189
1,地铁,226,13.743382576,100.494846054,190
1,地铁,226,13.738525283,100.48531428,191
1,地铁,226,13.738382484,100.484967007,192
1,地铁,226,13.738382484,100.484967007,193
1,地铁,226,13.737162618,100.482000411,194
1,地铁,226,13.736663667,100.480902046,195
1,地铁,226,13.734498494,100.479416102,196
1,地铁,226,13.732936483,100.478486717,197
1,地铁,226,13.732046692,100.47800526,198
1,地铁,226,13.731438297,100.477405787,199
1,地铁,226,13.730590189,100.475852787,200
1,地铁,226,13.729649581,100.474342704,201
1,地铁,226,13.729528102000298,100.47412362300054,202
1,地铁,226,13.729528102,100.474123623,203
1,地铁,226,13.724607751164779,100.46525001529716,204
1,地铁,226,13.724607751,100.465250015,205
1,地铁,226,13.724607751,100.465250015,206
1,地铁,226,13.720193781072197,100.45721277613147,207
1,地铁,226,13.720193781,100.457212776,208
1,地铁,226,13.720193781,100.457212776,209
1,地铁,226,13.717962011,100.452976227,210
1,地铁,226,13.715439681,100.445605517,211
1,地铁,226,13.715439681,100.445605517,212
1,地铁,226,13.715439680879175,100.4456055166439,213
1,地铁,226,13.713686021,100.4404369,214
1,地铁,226,13.713476258,100.438710898,215
1,地铁,226,13.712934262,100.434408635,216
1,地铁,226,13.712934262,100.434408635,217
1,地铁,226,13.712934261991865,100.43440863490792,218
1,地铁,226,13.711871112012856,100.4223749041455,219
1,地铁,226,13.711871112,100.422374904,220
1,地铁,226,13.711871112,100.422374904,221
1,地铁,226,13.710850952037125,100.4095204174678,222
1,地铁,227,13.710850952,100.409520417,1
1,地铁,227,13.711871112,100.422374904,2
1,地铁,227,13.711871112,100.422374904,3
1,地铁,227,13.711871112012856,100.4223749041455,4
1,地铁,227,13.712934261991865,100.43440863490792,5
1,地铁,227,13.712934262,100.434408635,6
1,地铁,227,13.712934262,100.434408635,7
1,地铁,227,13.713269101,100.438623726,8
1,地铁,227,13.715502797,100.445585265,9
1,地铁,227,13.715502797,100.445585265,10
1,地铁,227,13.715523065,100.445648432,11
1,地铁,227,13.717878629,100.452793837,12
1,地铁,227,13.719139784,100.455030799,13
1,地铁,227,13.720193781,100.457212776,14
