交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
2,铁路,319,319,SRT บางกระบูน;SRT Bang Krabun,SRT บางกระบูน,SRT Bang Krabun,208,已匹配stops.zone_id
2,铁路,320,320,SRT แม่กลอง;SRT Mae Klong,SRT แม่กลอง,SRT Mae Klong,208,已匹配stops.zone_id
2,铁路,321,321,ARL พญาไท;ARL Phaya Thai,ARL พญาไท,ARL Phaya Thai,14,已匹配stops.zone_id
2,铁路,322,322,ARL ลาดกระบัง;ARL Lat Krabang,ARL ลาดกระบัง,ARL Lat Krabang,14,已匹配stops.zone_id
2,铁路,323,323,ARL บ้านทับช้าง;ARL Ban Thap Chang,ARL บ้านทับช้าง,ARL Ban Thap Chang,14,已匹配stops.zone_id
2,铁路,324,324,ARL มักกะสัน;ARL Makkasan,ARL มักกะสัน,ARL Makkasan,14,已匹配stops.zone_id
2,铁路,325,325,ARL หัวหมาก;ARL Hua Mak,ARL หัวหมาก,ARL Hua Mak,14,已匹配stops.zone_id
2,铁路,326,326,ARL ท่าอากาศยานสุวรรณภูมิ;ARL Suvarnabhumi Airport,ARL ท่าอากาศยานสุวรรณภูมิ,ARL Suvarnabhumi Airport,14,已匹配stops.zone_id
2,铁路,327,327,ARL ราชปรารภ;ARL Ratchaprarop,ARL ราชปรารภ,ARL Ratchaprarop,14,已匹配stops.zone_id
2,铁路,328,328,ARL รามคำแหง;ARL Ramkhamhaeng,ARL รามคำแหง,ARL Ramkhamhaeng,14,已匹配stops.zone_id
2,铁路,221,,,,,120,未找到对应stops.zone_id
