交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
2,铁路,5,SRTET,ARL,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link Airport Rail Link,2,E32020,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน,Airport Rail Link,素万那普机场捷运（ARL）,公开常见中文功能名（非官方）,https://www.transit.land/routes/r-w4rw-arl
2,铁路,50,SRT,259,ธนบุรี - น้ำตก;Thon Buri - Nam Tok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ธนบุรี - น้ำตก,Thon Buri - Nam Tok,,未提供中文；保留泰文/英文原名,
2,铁路,51,SRT,260,น้ำตก - ธนบุรี;Nam Tok - Thon Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,น้ำตก - ธนบุรี,Nam Tok - Thon Buri,,未提供中文；保留泰文/英文原名,
2,铁路,52,SRT,261,กรุงเทพ - หัวหิน;Bangkok - Hua Hin,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - หัวหิน,Bangkok - Hua Hin,,未提供中文；保留泰文/英文原名,
2,铁路,53,SRT,262,หัวหิน - กรุงเทพ;Hua Hin - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,หัวหิน - กรุงเทพ,Hua Hin - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,54,SRT,275,กรุงเทพ - ด่านพรมแดนบ้านคลองลึก;Bangkok - Ban Klong Luek Border,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,b22222,กรุงเทพ - ด่านพรมแดนบ้านคลองลึก,Bangkok - Ban Klong Luek Border,,未提供中文；保留泰文/英文原名,
2,铁路,55,SRT,276,ด่านพรมแดนบ้านคลองลึก - กรุงเทพ;Ban Klong Luek Border - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,b22222,ด่านพรมแดนบ้านคลองลึก - กรุงเทพ,Ban Klong Luek Border - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,56,SRT,277,กรุงเทพ - กบินทร์บุรี;Bangkok - Kabin Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - กบินทร์บุรี,Bangkok - Kabin Buri,,未提供中文；保留泰文/英文原名,
2,铁路,57,SRT,278,กบินทร์บุรี - กรุงเทพ;Kabin Buri - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กบินทร์บุรี - กรุงเทพ,Kabin Buri - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,58,SRT,279,กรุงเทพ - ด่านพรมแดนบ้านคลองลึก;Bangkok - Ban Klong Luek Border,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,b22222,กรุงเทพ - ด่านพรมแดนบ้านคลองลึก,Bangkok - Ban Klong Luek Border,,未提供中文；保留泰文/英文原名,
2,铁路,59,SRT,280,ด่านพรมแดนบ้านคลองลึก - กรุงเทพ;Ban Klong Luek Border - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,b22222,ด่านพรมแดนบ้านคลองลึก - กรุงเทพ,Ban Klong Luek Border - Bangkok,,未提供中文；保留泰文/英文原名,
