交通类型代码,交通类型中文,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,trip_headsign_泰文,trip_headsign_英文
2,铁路,6,3,89,กรุงเทพ;Bangkok,1,78,2,กรุงเทพ,Bangkok
2,铁路,61,3,118,กรุงเทพ;Bangkok,1,107,2,กรุงเทพ,Bangkok
2,铁路,83,3,119,โพรงมะเดื่อ;Phrong Madua,0,108,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,85,3,120,โพรงมะเดื่อ;Phrong Madua,0,109,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,88,3,121,กรุงเทพ;Bangkok,1,110,2,กรุงเทพ,Bangkok
2,铁路,89,3,122,พระจอมเกล้า;Pra Chom Klao,0,111,2,พระจอมเกล้า,Pra Chom Klao
2,铁路,90,3,123,กรุงเทพ;Bangkok,1,112,2,กรุงเทพ,Bangkok
2,铁路,100,3,126,กรุงเทพ;Bangkok,1,113,2,กรุงเทพ,Bangkok
2,铁路,101,3,127,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,114,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,102,3,128,กรุงเทพ;Bangkok,1,115,2,กรุงเทพ,Bangkok
2,铁路,103,3,129,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,116,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,68,3,130,ลพบุรี;Lop Buri,0,117,2,ลพบุรี,Lop Buri
2,铁路,73,5,133,นวนคร;Nava Nakhon,0,118,2,นวนคร,Nava Nakhon
2,铁路,74,5,134,กรุงเทพ;Bangkok,1,119,2,กรุงเทพ,Bangkok
2,铁路,77,5,137,เชียงราก;Chiang Rak,0,120,2,เชียงราก,Chiang Rak
2,铁路,78,5,138,กรุงเทพ;Bangkok,1,121,2,กรุงเทพ,Bangkok
2,铁路,79,5,139,นวนคร;Nava Nakhon,0,122,2,นวนคร,Nava Nakhon
2,铁路,81,5,140,นวนคร;Nava Nakhon,0,123,2,นวนคร,Nava Nakhon
2,铁路,91,5,141,หัวตะเข้;Hua Takhe,1,124,2,หัวตะเข้,Hua Takhe
2,铁路,92,5,142,กรุงเทพ;Bangkok,1,125,2,กรุงเทพ,Bangkok
2,铁路,93,5,143,หัวตะเข้;Hua Takhe,0,126,2,หัวตะเข้,Hua Takhe
2,铁路,94,5,144,กรุงเทพ;Bangkok,1,127,2,กรุงเทพ,Bangkok
2,铁路,96,5,145,พระจอมเกล้า;Pra Chom Klao,0,128,2,พระจอมเกล้า,Pra Chom Klao
2,铁路,97,5,146,กรุงเทพ;Bangkok,1,129,2,กรุงเทพ,Bangkok
2,铁路,66,7,147,เชียงราก;Chiang Rak,0,130,2,เชียงราก,Chiang Rak
2,铁路,67,7,148,กรุงเทพ;Bangkok,1,131,2,กรุงเทพ,Bangkok
2,铁路,95,7,149,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,132,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,64,6,151,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,133,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,65,6,152,กรุงเทพ;Bangkok,1,134,2,กรุงเทพ,Bangkok
2,铁路,62,1,153,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,135,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,63,1,154,กรุงเทพ;Bangkok,1,136,2,กรุงเทพ,Bangkok
