交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
4,轮渡,2534,AT,ท่าเรือหาดนพรัตน์ธาราฯ - เกาะพีพี - ศาลาด่าน - ภูเก็ต,หาดนพฯ - เกาะพีพี;Hat Noppharat Thara - Phi Phi Island,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13a949,หาดนพฯ - เกาะพีพี,Hat Noppharat Thara - Phi Phi Island,,未提供中文；保留泰文/英文原名,
4,轮渡,2535,AT,ท่าเรือหาดนพรัตน์ธาราฯ - เกาะพีพี - ศาลาด่าน - ภูเก็ต,หาดนพฯ - ท่าเทียบเรือศาลาด่าน;Noparatthara Pier - Sala Dan Pier,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,หาดนพฯ - ท่าเทียบเรือศาลาด่าน,Noparatthara Pier - Sala Dan Pier,,未提供中文；保留泰文/英文原名,
4,轮渡,2536,AT,ท่าเรือหาดนพรัตน์ธาราฯ - เกาะพีพี - ศาลาด่าน - ภูเก็ต,หาดนพฯ - ภูเก็ต;Noparatthara Pier - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,หาดนพฯ - ภูเก็ต,Noparatthara Pier - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2541,KS,ท่าเรือเกาะพีพี - ภูเก็ต,เกาะพีพี - ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,เกาะพีพี - ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2542,KS,ท่าเรือเกาะพีพี - ภูเก็ต,เกาะพีพี - ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี - ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2547,PPCT,ท่าเรือปากคลองจิหลาด-เกาะพีพี,ท่าเทียบเรือปากคลองจิหลาด-เกาะพีพี;Klong Jilad Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13a949,ท่าเทียบเรือปากคลองจิหลาด-เกาะพีพี,Klong Jilad Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2548,CG,ท่าเรือศาลาด่าน อ.เกาะลันตา-เกาะพีพี,ท่าเรือศาลาด่าน อ.เกาะลันตา - เกาะพีพี;Sala Dan - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,ท่าเรือศาลาด่าน อ.เกาะลันตา - เกาะพีพี,Sala Dan - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2549,PPC,ท่าเรือเกาะพีพี-ภูเก็ต,เกาะพีพี - ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,เกาะพีพี - ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2550,CPL,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2551,CG,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
