国家代码,行政层级,行政层级中文,行政区代码,上级行政区代码,中文名称,泰文名称,英文名称,中文显示名,中文名状态,中心纬度,中心经度,西界经度,南界纬度,东界经度,北界纬度,面积平方公里,邮政编码,边界状态,边界文件,边界要素ID,边界坐标系,边界数据时点,Google原生边界支持,Google地图绘制方式,Wikidata网址,名称与代码来源,中心点来源,边界来源
TH,1,府/特别行政区,72,TH,素攀武里府,สุพรรณบุรี,Suphan Buri,素攀武里府,府级中文名人工校核,14.5725959,100.0029928,99.2828021,14.0642432,100.2795695,15.0809053,5433.4573296,72,可绘制,泰国_ADM1_府级边界.geojson,TH72,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q272247,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,73,TH,佛统府,นครปฐม,Nakhon Pathom,佛统府,府级中文名人工校核,13.9142058,100.096443,99.8141025,13.6602861,100.3303329,14.1792136,2139.1991797,73,可绘制,泰国_ADM1_府级边界.geojson,TH73,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q334841,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,74,TH,龙仔厝府,สมุทรสาคร,Samut Sakhon,龙仔厝府,府级中文名人工校核,13.5750144,100.2135034,100.0295158,13.4253303,100.4088383,13.71972,856.8755182,74,可绘制,泰国_ADM1_府级边界.geojson,TH74,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q334686,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,75,TH,夜功府,สมุทรสงคราม,Samut Songkhram,夜功府,府级中文名人工校核,13.3788033,99.9529628,99.855951,13.2966201,100.0787822,13.5145286,414.3907546,75,可绘制,泰国_ADM1_府级边界.geojson,TH75,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q459742,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,76,TH,碧武里府,เพชรบุรี,Phetchaburi,碧武里府,府级中文名人工校核,12.9533559,99.6148222,99.0995267,12.5829794,100.1020407,13.3434092,6183.0008533,76,可绘制,泰国_ADM1_府级边界.geojson,TH76,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244699,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,77,TH,巴蜀府,ประจวบคีรีขันธ์,Prachuap Khiri Khan,巴蜀府,府级中文名人工校核,11.7995385,99.7241605,99.1537796,10.9683567,100.0188986,12.6324988,6448.389498,77,可绘制,泰国_ADM1_府级边界.geojson,TH77,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244628,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,80,TH,洛坤府,นครศรีธรรมราช,Nakhon Si Thammarat,洛坤府,府级中文名人工校核,8.5804449,99.7182841,99.2345036,7.8380555,100.3365739,9.3227954,9901.7127288,80,可绘制,泰国_ADM1_府级边界.geojson,TH80,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244691,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,81,TH,甲米府,กระบี่,Krabi,甲米府,府级中文名人工校核,8.1695925,99.0224664,98.6354315,7.6573624,99.3848522,8.681337,4988.3553656,80|81,可绘制,泰国_ADM1_府级边界.geojson,TH81,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q236769,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,82,TH,攀牙府,พังงา,Phangnga,攀牙府,府级中文名人工校核,8.7376669,98.417924,98.2051883,8.1267473,98.7034381,9.3321898,4095.7313411,82|83,可绘制,泰国_ADM1_府级边界.geojson,TH82,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q273306,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,83,TH,普吉府,ภูเก็ต,Phuket,普吉府,府级中文名人工校核,7.9793882,98.3352674,98.2630484,7.7633803,98.4407016,8.1990882,548.0254544,83,可绘制,泰国_ADM1_府级边界.geojson,TH83,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q182565,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,84,TH,素叻他尼府,สุราษฎร์ธานี,Surat Thani,素叻他尼府,府级中文名人工校核,9.0160937,99.115584,98.445996,8.3125643,100.0701329,9.8039765,13085.4534044,84,可绘制,泰国_ADM1_府级边界.geojson,TH84,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q240463,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,85,TH,拉廊府,ระนอง,Ranong,拉廊府,府级中文名人工校核,10.0466041,98.7568351,98.3904679,9.308902,98.9648701,10.7841555,3293.4850414,85,可绘制,泰国_ADM1_府级边界.geojson,TH85,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q236802,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,86,TH,春蓬府,ชุมพร,Chumphon,春蓬府,府级中文名人工校核,10.3174053,99.0351181,98.6303258,9.6008767,99.5025605,11.0337093,6021.5652281,86,可绘制,泰国_ADM1_府级边界.geojson,TH86,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244695,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
